algorithm,type,n,time_ms,max_depth,comparisons,calls
MergeSort,random,1000,0.992,7,10334,127
QuickSort,random,1000,0.409,6,12008,675
Select,random,1000,0.770,10,7805,103
MergeSort,sorted,1000,0.139,7,3956,127
QuickSort,sorted,1000,0.311,6,11055,664
Select,sorted,1000,0.341,11,6386,115
MergeSort,reverse,1000,0.200,7,10300,127
QuickSort,reverse,1000,0.206,6,13105,666
Select,reverse,1000,0.085,9,7503,99
MergeSort,duplicates,1000,0.208,7,9697,127
QuickSort,duplicates,1000,0.083,2,3777,10
Select,duplicates,1000,0.074,6,3057,6
MergeSort,random,10000,3.845,11,127069,2047
QuickSort,random,10000,4.231,9,159154,6649
Select,random,10000,3.099,14,83388,515
MergeSort,sorted,10000,4.704,11,59248,2047
QuickSort,sorted,10000,10.073,8,159800,6647
Select,sorted,10000,1.243,14,68650,496
MergeSort,reverse,10000,4.245,11,93648,2047
QuickSort,reverse,10000,2.184,9,159579,6666
Select,reverse,10000,1.470,13,78697,396
MergeSort,duplicates,10000,6.826,11,121839,2047
QuickSort,duplicates,10000,0.488,2,32151,10
Select,duplicates,10000,0.689,6,30882,6
MergeSort,random,100000,36.732,14,1639543,16383
QuickSort,random,100000,37.249,10,1996613,66619
Select,random,100000,11.147,16,865922,2225
MergeSort,sorted,100000,36.475,14,744016,16383
QuickSort,sorted,100000,16.994,11,2028397,66618
Select,sorted,100000,5.681,17,712072,2223
MergeSort,reverse,100000,8.335,14,1208816,16383
QuickSort,reverse,100000,18.001,10,2141675,66641
Select,reverse,100000,4.458,16,801115,1672
MergeSort,duplicates,100000,19.227,14,1561519,16383
QuickSort,duplicates,100000,4.566,3,300411,10
Select,duplicates,100000,3.876,9,310185,16
MergeSort,random,1000000,291.778,17,20221615,131071
QuickSort,random,1000000,334.435,12,25573957,666654
Select,random,1000000,90.343,19,8363265,8923
MergeSort,sorted,1000000,73.085,17,8952320,131071
QuickSort,sorted,1000000,177.394,13,25077005,666469
Select,sorted,1000000,42.001,20,7231345,9823
MergeSort,reverse,1000000,82.270,17,15117824,131071
QuickSort,reverse,1000000,155.321,13,26153519,666766
Select,reverse,1000000,45.122,20,8113844,7487
MergeSort,duplicates,1000000,144.332,17,19209433,131071
QuickSort,duplicates,1000000,39.864,3,3100738,10
Select,duplicates,1000000,38.772,10,3155335,36
ClosestPair,random,1000,2.264,10,585,975
ClosestPair,random,10000,25.425,13,5295,8191
ClosestPair,random,100000,273.899,17,45996,68927
ClosestPair,random,500000,1050.361,19,322027,475711
